"chr","tracking_id","ratio"
"4","YDR022C",2.0053734832052
"4","YDL214C",2.0323502352755
"4","YDR070C",2.06382199128311
"4","YDR274C",2.07940107904932
"4","YDR461C-A",2.12083444263308
"4","YDR461W",2.20206876779494
"4","YDL139C",2.25152589691285
"4","YDL048C",2.34727462058787
"4","YDR055W",2.43211528620413
"4","YDR043C",2.96411252681667
"4","YDL204W",3.00200807576792
"4","YDR533C",3.16987089265414
"4","YDR253C",3.27467823428462
"4","YDR345C",3.37144823755587
"4","YDR015C",3.61894631742103
"4","YDR034W-B",3.70137551398217
"4","YDR342C",3.75651040659859
"4","YDR014W-A",4.21779915638399
"4","YDL218W",38.7248756488313
"4","YDL247W-A",85.6893333333333
