"chr","tracking_id","ratio"
"8","YHR050W-A",2.00769479172436
"8","YHR071W",2.01863002295235
"8","YHR116W",2.07210133426511
"8","YHL048W",2.07396893981589
"8","YHR022C",2.08460222628568
"8","YHL038C",2.13878546433159
"8","YHR059W",2.1641530717277
"8","YHR094C",2.17573769560649
"8","YHL026C",2.27519178134999
"8","YHL021C",2.30516016052925
"8","YHR210C",2.30981830910352
"8","YHL004W",2.33523174181645
"8","YHR087W",2.44814688881333
"8","YHR049C-A",2.62052363110173
"8","YHR179W",2.89105576982415
"8","YHR183W",4.23097695394125
"8","YHL008C",4.79642813333575
"8","YHR139C",4.85848462666329
"8","YHR092C",6.55265022425708
