"chr","tracking_id","ratio"
"15","YOR161C-C",2.00597502357643
"15","YOR225W",2.0165751920966
"15","YOL033W",2.03953180666818
"15","YOR231C-A",2.10327342128863
"15","YOR354C",2.13350191434423
"15","YOR083W",2.14231608484524
"15","YOR049C",2.18052246274837
"15","YOR358W",2.20679408157068
"15","YOL015W",2.24231008594171
"15","YOR201C",2.39275519986902
"15","YOR298W",2.42238113178656
"15","YOR079C",2.46955419203335
"15","YOL152W",2.50516004702451
"15","YOL118C",2.61709222325514
"15","YOL136C",2.66879293761761
"15","YOR334W",2.74989843987506
"15","YOR379C",2.94650134623309
"15","YOL014W",3.28550653255592
"15","YOL023W",3.29122009700726
"15","YOR187W",3.30895567939052
"15","YOR381W-A",4.02358625343539
"15","YOL085C",4.67667774855568
