"chr","tracking_id","ratio"
"12","YLL024C",2.02368204586804
"12","YLR374C",2.02834632865285
"12","YLL027W",2.03694427011304
"12","YLR214W",2.04447719273807
"12","YLL052C",2.07585270060961
"12","YLR124W",2.07988357847669
"12","YLL025W",2.09909643478846
"12","YLR461W",2.12560731745686
"12","YLR112W",2.13067813184329
"12","YLR113W",2.21578217307448
"12","YLR259C",2.22511197627445
"12","YLR338W",2.33292743286096
"12","YLR332W",2.36784948376841
"12","YLR358C",2.40582548175072
"12","YLL053C",2.4871836759601
"12","YLR163C",2.56819451142333
"12","YLR444C",2.58094246484729
"12","YLR094C",2.59255959328203
"12","YLR239C",2.64279750636332
"12","YLR224W",2.68218806262052
"12","YLR163W-A",2.68986404043925
"12","YLR382C",2.69303484918705
"12","YLR134W",2.81463356592896
"12","YLR354C",2.82333343117973
"12","YLR267W",2.84343340275709
"12","YLR342W-A",2.85994575228681
"12","YLR375W",2.89715187556736
"12","YLL026W",2.93642761335726
"12","YLR253W",2.93675201067228
"12","YLR303W",2.96892283871317
"12","YLR141W",3.04103342704779
"12","YLR437C-A",3.09003062292109
"12","YLR218C",3.26695185589048
"12","YLR090W",3.42519095402127
"12","YLR289W",3.51083354946299
"12","YLR008C",3.69230455512182
"12","YLR139C",3.74557140068906
"12","YLR439W",3.79795827602793
"12","YLR204W",3.86674650418721
"12","YLR203C",3.98330504957533
"12","YLR265C",4.00864036861292
"12","YLR390W",4.60270935842661
"12","YLR180W",4.61592301947406
"12","YLR177W",4.61770289815566
"12","YLR312W-A",4.9470005797394
"12","YLR108C",5.07468516746524
"12","YLR280C",5.42637675962978
"12","YLR168C",5.45086810860741
"12","YLR069C",5.68263897277072
"12","YLR081W",6.39020775348769
"12","YLR109W",7.09156191352997
"12","YLL009C",8.00981272982485
"12","YLR012C",8.28530898998343
"12","YLR460C",8.92370665897196
"12","YLR411W",13.7111565125455
