"chr","tracking_id","ratio"
"12","YLL054C",2.01332065379749
"12","YLR346C",2.01583666185094
"12","YLR012C",2.02009754704061
"12","YLR202C",2.04004464334088
"12","YLR179C",2.14268869312794
"12","YLR334C",2.14702591521586
"12","YLR204W",2.15031781838922
"12","YLR342W-A",2.2173718944537
"12","YLR253W",2.23135317923524
"12","YLR265C",2.29098706503405
"12","YLL062C",2.29112046977875
"12","YLR382C",2.30685579688636
"12","YLR163W-A",2.36432368833885
"12","YLR439W",2.42460099729527
"12","YLR354C",2.46277776147004
"12","YLR109W",2.53209022343401
"12","YLR224W",2.58485756847406
"12","YLR280C",2.59561736038815
"12","YLL026W",2.59818750326615
"12","YLR139C",2.6660008740517
"12","YLR437C-A",2.66859151777602
"12","YLR289W",2.6902373224808
"12","YLR390W",2.74420853888399
"12","YLR303W",3.00475496626053
"12","YLR203C",3.24167306989033
"12","YLR008C",3.24295948718712
"12","YLR312W-A",3.48395853630424
"12","YLR069C",3.69193436090644
"12","YLR177W",3.85719199279069
"12","YLR168C",3.90325434333371
"12","YLR108C",4.43696682297421
"12","YLL009C",4.75660461333251
"12","YLR180W",5.22666571591914
"12","YLR411W",5.37315748355567
"12","YLR460C",6.53819850609846
