"chr","tracking_id","ratio"
"10","YJL118W",2.03877335294253
"10","YJR137C",2.04713589366482
"10","YJL181W",2.06078212111588
"10","YJR127C",2.07007780671012
"10","YJR114W",2.13252513757504
"10","YJL213W",2.16727486160581
"10","YJR045C",2.25273995474994
"10","YJL035C",2.37552051334562
"10","YJL180C",2.4308316408442
"10","YJL096W",2.45584836521996
"10","YJL212C",2.55288215334013
"10","YJL171C",2.5540932934387
"10","YJL063C",2.99393048430705
"10","YJL062W-A",3.12448957005079
"10","YJR005C-A",3.29258826601432
"10","YJR101W",3.31388459089115
"10","YJL060W",3.5186455413339
"10","YJL047C-A",3.72499192170983
