"chr","tracking_id","ratio"
"2","YBR007C",2.01177007686511
"2","YBR268W",2.05467173946778
"2","YBR238C",2.056188672252
"2","YBL084C",2.05872558028423
"2","YBL086C",2.06726110899881
"2","YBR182C",2.07057751417142
"2","LSR1",2.07850244112915
"2","YBR284W",2.07870583860171
"2","YBR004C",2.11717264077872
"2","YBR282W",2.1567124475856
"2","YBR132C",2.18793502667061
"2","YBR144C",2.20202464325061
"2","YBR298C",2.21085184775269
"2","YBL006W-A",2.2896787101996
"2","YBR223W-A",2.32474642678205
"2","YBR183W",2.33912313350226
"2","YBR068C",2.356713557687
"2","YBR076W",2.47579767580874
"2","YBR091C",2.57169004776212
"2","YBR056C-B",2.57606490789589
"2","YBR178W",2.5936029790516
"2","YBR296C-A",2.63884565649996
"2","YBR114W",3.12855973652033
"2","YBR301W",4.02509317330312
"2","YBR105C",5.53180872505039
"2","YBR121C-A",14.9996666666667
