"chr","tracking_id","ratio"
"13","YML130C",2.01169843451286
"13","YML009C",2.02040358557395
"13","YML007C-A",2.11109338853975
"13","YMR293C",2.12821196348797
"13","YMR291W",2.18325532170043
"13","YMR315W-A",2.19171969345566
"13","YMR007W",2.22511275634787
"13","YMR225C",2.28364844425988
"13","YML087C",2.28431669621083
"13","YMR188C",2.34149822778432
"13","YMR082C",2.43530750851268
"13","YML016C",2.44666963233804
"13","YMR084W",2.50897171128396
"13","YML058W-A",2.51797887708732
"13","YMR002W",2.55084837688712
"13","YMR158W",2.67621073183686
"13","YMR085W",2.84185097444749
"13","YML025C",2.98939676843197
"13","YMR118C",3.0842033416123
"13","YMR157C",3.4249110228086
"13","YMR024W",3.61208873129144
"13","YMR322C",4.42242611773247
"13","YML054C-A",5.58835180272484
"13","YMR320W",6.43911937899283
"13","YMR182W-A",57.9131333333333
