"","Holly_9A","Holly_9B","Holly_9C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YAL001C",1129.61841281676,1436.66202245828,1717.37425853667,1211.51719169277,1256.49747795144,1173.84995240817
"YAL002W",735.949607700276,906.147421847913,1190.79260435121,611.91289217574,737.926917863679,697.812125739636
"YAL003W",4305.58049791732,2370.40332453928,2751.58860586682,2577.7709768093,2413.93079432667,2625.97721002021
"YAL005C",5139.71789617113,31086.7313954976,24124.0220323713,4609.56795068593,10078.262152193,7375.05487547903
"YAL007C",738.702536407384,701.418633021764,708.092754681204,900.285634465457,733.883482697303,945.012777570479
"YAL008W",1330.58220843566,771.738521357702,682.162597467526,1640.55956436772,958.294134431189,1000.10320854992
"YAL009W",279.881085222673,234.993044565667,196.470806580559,312.110742417224,234.519239649827,265.564128823991
"YAL010C",307.410372293756,277.719052668516,245.339179790952,469.484891410697,370.985176515028,411.059369615859
"YAL011W",257.857655565807,248.344922097807,268.277395787667,223.313038236549,201.160899527222,238.725200910928
"YAL012W",562.515099152455,3320.16687965886,3326.04131952368,208.366890008119,816.773903608017,634.246243840277
"YAL013W",602.89138685671,1070.82057807764,673.186773816637,453.659557992359,764.209246445125,642.721694760191
"YAL014C",434.962735723106,582.141860401311,573.455399917876,302.439705328239,417.484680928355,447.786323602155
"YAL015C",384.492376092787,471.766339468953,461.756261151264,488.826965588666,532.722583170081,515.589930961472
"YAL016C-B",23.8587154616049,25.813629895471,31.9140396476035,26.3755556972302,14.1520230823171,21.1886272997865
"YAL016W",3003.44521945511,2744.25589543921,2940.08090253548,3748.84564976632,3217.56353364396,3085.06413484892
"YAL017W",1292.04120653614,2167.45478605075,2608.97274119159,1186.90000637536,1567.84198576242,1477.55361037178
"YAL019W",723.102607067104,943.532678937905,1017.26001376736,496.739632297835,612.580427706013,628.595943227
"YAL020C",231.246011397094,304.422807732796,168.546021888906,124.84429696689,212.280346234757,203.410822077951
"YAL021C",1748.10972901375,1693.01807107537,1483.00552987458,1309.98593296243,1900.41452819687,1611.7482499371
"YAL022C",450.562665063386,502.92072037728,404.90937802897,265.513927352117,310.333649019383,340.430611949904
"YAL023C",2153.70789186103,2462.97634209546,2507.24673981485,1133.26970979099,2007.56556010584,1918.27705820734
"YAL024C",257.857655565807,289.290679863037,364.019514730478,257.601260642948,266.866720980837,272.627004590587
